Per’odo	Inflaci—n	D—lar Observado	Indice Actividad Minera	Indice Actividad Industria	Indice Actividad Resto de bienes	Indice Activdad Comercio	Indice Actividad Servicios	TPM	M1	M2	M3	Precio Petr—leo (USD)	Precio Cobre (USD)	IPSA (CLP)	Inflaci—n Internacional 
01-05-2024	0,30%	917,88	82,8	102,12	98,54	113,31	121,96	6,36%	54248,2	178176,2	331500,4	77	4,6	6605,5	7,10%
01-06-2024	-0,10%	926,08	89,05	95,73	92,16	106,07	115,77	5,91%	54702,5	180137,9	335784,2	81,5	4,4	6413,9	8,00%
01-07-2024	0,70%	937,56	91,41	105,35	92,8	109,41	116,08	5,75%	54180,6	180916,8	336086,3	77,9	4,2	6440,6	2,30%
01-08-2024	0,30%	929,9	96,94	104,12	93,27	113,04	120,31	5,75%	53374,8	180950	335976,1	73,6	4,2	6460	2,30%
01-09-2024	0,10%	926,21	96,16	94,5	90,78	107,11	116,99	5,53%	54099	180796,5	337141	68,2	4,6	6490,6	0,80%
01-10-2024	1,00%	933,81	96,16	108,37	95,65	116,08	122,19	5,40%	53069,2	178719	333781,2	69,3	4,3	6550,3	5,80%
01-11-2024	0,20%	971,6	93,55	107,54	111,42	115,93	127,72	5,25%	53645,1	177827,8	335687,8	68	4,1	6576,6	-43,60%
01-12-2024	-0,20%	982,3	108,42	115,81	154,01	146,43	122,05	5,15%	55875,6	179649,6	336828,7	71,7	4	6710	2,10%
01-01-2025	1,10%	1000,76	84,47	111,3	121,29	140,47	110,54	5,00%	55591	178241,5	332744	72,5	4,3	7199,6	-19,80%
01-02-2025	0,40%	956,62	75,37	104,66	123,92	123,14	104,25	5,00%	54780,5	177599,7	331440,4	69,8	4,5	7332,1	14,90%
