Período;Inflación;Dólar Observado;Indice Actividad Minera;Indice Actividad Industria;Indice Actividad Resto de bienes;Indice Activdad Comercio;Indice Actividad Servicios;TPM;M1;M2;M3;Precio Petróleo (USD);Precio Cobre (USD);IPSA (CLP)
01-03-06;0.006;528.770.869.565.217;94.015.722.927.607;76.123.089.046.487;89.145.169.441.357;63.005.922.466.676;59.621.261.741.639;0.0475;152.778.249.535.654;690.019.639.395.986;120.237.058.678.388;66.63;2.459;2181.95
01-04-06;0.006;517.326.315.789.474;93.169.903.557.954;77.462.305.679.625;75.804.595.430.833;6.519.734.066.021;60.155.676.847.152;0.0488157894736842;153.761.855.348.627;695.234.857.968.483;120.338.124.129.319;71.88;32.205;2201.56
01-05-06;0.002;520.794.090.909.091;97.488.220.728.955;77.176.796.360.873;68.664.067.327.705;64.371.187.176.132;60.971.161.028.408;0.05;154.569.800.240.243;701.971.950.611.646;121.131.129.219.316;71.29;36.065;2156.53
01-06-06;0.006;542.46;10.066.961.069.473;7.482.646.490.514;62.521.997.512.904;59.946.363.960.329;60.492.944.373.208;0.05;156.190.625.825.513;706.980.519.482.255;121.413.678.121.195;73.93;3.355;2126.02
01-07-06;0.005;540.620.476.190.476;9.546.569.366.494;76.065.297.575.378;60.620.961.954.877;59.223.681.979.834;57.364.259.747.126;0.0514285714285714;152.734.862.561.448;704.084.898.105.529;120.302.320.485.556;74.4;3.55;2131.58
01-08-06;0.003;538.527.272.727.273;95.754.539.772.437;73.646.773.783.436;59.289.926.160.951;59.727.234.166.755;61.433.447.336.417;0.0525;151.684.736.055.846;719.005.574.191.386;121.857.167.240.342;70.26;3.461;2206.37
01-09-06;0;538.652.631.578.947;97.055.038.379.049;74.077.386.081.628;57.659.552.747.925;58.194.536.077.663;60.093.229.188.445;0.0525;156.956.608.625.033;734.630.429.517.319;124.756.675.200.071;62.91;34.605;2280.48
01-10-06;-0.003;530.954.761.904.762;10.698.062.045.182;82.567.136.317.632;62.094.649.635.863;6.442.239.284.386;63.841.976.258.168;0.0525;153.678.351.116.762;731.511.886.060.261;124.919.981.861.085;58.73;3.349;2380.26
01-11-06;-0.002;527.437.142.857.143;10.026.097.698.224;77.642.572.823.656;65.337.831.504.055;64.896.056.902.275;6.630.597.812.526;0.0525;156.477.002.218.752;742.199.334.775.021;126.419.303.667.554;63.13;3.189;2559.67
01-12-06;0.001;527.582.105.263.158;11.117.864.318.727;83.038.740.751.517;79.373.790.704.462;79.486.159.543.777;62.716.139.063.153;0.0525;170.490.041.887.865;767.763.745.514.244;129.230.859.613.002;61.05;2.871;2693.22
01-01-07;0.003;540.51;95.487.612.412.232;75.536.495.753.007;85.052.797.994.435;64.831.346.787.542;5.822.946.161.768;0.0509090909090909;174.164.660.055.479;782.702.551.214.095;130.235.125.193.152;58.14;26.015;2895.28
01-02-07;-0.002;5.422.665;87.784.800.033.159;72.569.397.184.071;90.282.734.512.756;61.262.047.417.551;5.492.226.002.928;0.05;173.419.897.675.682;791.057.253.182.504;131.672.604.907.054;61.79;2.752;2811.62
